Country,Project,Main_fuel,Other_fuels,Location,Status,Capacity,Began_operations,Owner,Capital,CompanyHQ,Shareholders,Notes,Links,Latitude,Longitude,capacity_old,Fuel_test
Colômbia,Termocaribe,Carvão,,"Galapa, Atlántico",Descartada,350,,Zona Franca Industrial de Bienes y Servicios de Barranquilla S.A. y Termo Atlántico SAS,Privado,,,,,10.898923,-74.9013326,350,Carbón
Colômbia,Dos Bocas,Carvão,,"San Vicente de Chucurí, Santander",Descartada,150,,CI Carbones de Santander SAS,Privado,,,,,6.8785185,-73.4219877,150,Carbón
Colômbia,Ingeandina Energía Limpia,Carvão,,"Lenguazaque, Cundinamarca",Descartada,200,,Ingeandina S.A.,Privado,,,,,5.3068985,-73.7161043,200,Carbón
Colômbia,Termomagdalena,Gás natural,,"Santa Marta, Magdalena",Descartada,89,,Inincop Américas SAS,Privado,,,,,11.2315232,-74.2174167,89,Gas
Colômbia,Giepsa,Gás natural,,"Necoclí, Antioquia",Descartada,,,Generación e Interconexión Eléctrica del Pacífico SAS (Giepsa),Privado,,,,,8.4271745,-76.7932168,19350,Gas
Colômbia,Termotayrona,Gás natural,,"Santa Marta, Magdalena",Descartada,93,,Termo Tayrona S.A.,Privado,,,,,11.2315232,-74.2174167,93,Gas
Colômbia,Termofrontier,Carvão,,"Puerto Libertador, Córdoba",Descartada,150,,Seelig Road Group Inc.,Privado,,,,,7.8879524,-75.6796992,150,Carbón
Colômbia,Termoriente,Carvão,,"El Zulia, Norte de Santander",Descartada,300,,Energy Projects SAS,Privado,,,,,7.9372894,-72.61358,300,Carbón
Colômbia,Innercoli,Carvão,,"Boavita, Boyacá",Descartada,90,,Industria de Energía Colombiana S.A.,Privado,,,,,6.331521,-72.5877954,90,Carbón
Colômbia,Proyecto Sahagún,Gás natural,,"Sahagún, Córdoba",Descartada,207,,P&E S.A.,Privado,,,,,8.9337693,-75.4816847,207,Gas
Colômbia,El Tesorito,Gás natural,,"Sahagún, Córdoba",Descartada,200,,Proeléctrica del Archipiélago SAS,Privado,,,,,8.9337693,-75.4816847,200,Gas
Colômbia,Termopalmero,Gás natural,,"Cartagena, Bolívar",Descartada,650,,Termopalmero SAS,Privado,,,,,10.4001911,-75.5785664,650,Gas
Colômbia,Termopacífico,Diesel,,"Buenaventura, Valle del Cauca",Descartada,85,,Fábrica Nacional de Autopartes S.A.,Privado,,,,,3.8756618,-77.0582218,85,Diesel
Colômbia,Mamonal II,Gás natural,,"Cartagena, Bolívar",Descartada,98,,Proeléctrica y Cía S.C.A.,Privado,,,,,10.4001911,-75.5785664,98,Gas
Colômbia,Cerromatoso (Termopaz),Carvão,,"Puerto Libertador, Córdoba",Descartada,200,,Axia SAS,Privado,,,,,7.8879524,-75.6796992,200,Carbón
Colômbia,Termoplexa,Gás natural,,"Cartagena, Bolívar",Descartada,50,,Plexaport SAS,Privado,,,,,10.4001911,-75.5785664,50,Gas
Colômbia,Termoaguazul,Gás natural,,"Aguazul, Casanare",Descartada,50,,Soenergy International Colombia SAS,Privado,,,,,5.1685759,-72.5635688,50,Gas
Equador,Esmeraldas,Óleo combustível,,"Esmeraldas, Esmeraldas",Ativa,232,1982 (Esmeraldas I) & 2014 (Esmeraldas II),Operada por la Corporación Eléctrica del Ecuador –CELEC-EP,Estatal,Esmeraldas,,"En el 2011, la CELEC EP contrata a la empresa China HARBIN ELECTRIC INTERNATIONAL CO. LTD para implementar la Central Térmica Esmeraldas II con una inversión de US$ 101.400.000,00. Esmeraldas I es vapor y Esmeraldas II es combustión interna.",https://www.celec.gob.ec/termoesmeraldas/index.php/central-termica-esmeraldas-i,0.9265783,-79.6909976,232,Fuel oil
Equador,Termoeléctrica Jaramijó,Óleo combustível,,"Jaramijó, Manabí",Ativa,140,2012,Operada por la Corporación Eléctrica del Ecuador –CELEC-EP,Estatal,,,,https://www.celec.gob.ec/termomanabi/index.php/centrales/central-jaramijo,-0.9787648,-80.6423294,140,Fuel oil
